 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês atendimento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"24 Rio Grande do Norte";-;1;-;-;-;1;5;272;468;975;2368;6204;12773;12423;14359;15815;15456;14013;13694;13254;13401;12600;12100;11609;11039;11379;13923;12981;15287;14056;14786;14843;14881;15180;14731;13700;13954;13060;16251;15027;15722;13979;14492;14757;14169;13812;13837;13310;13412;13922;15385;14640;15025;14241;14373;14860;14023;13936;13718;12404;13028;13013;15375;13718;14333;13738;14783;14265;12119;13124;12380;11343;12660;11846;14854;15429;15441;14173;14652;13868;13735;14261;12679;12217;12826;12552;13455;14079;14671;13179;13526;13156;13366;13414;12712;12266;12112;11207;14285;14177;14252;13850;14313;13779;13461;13466;12531;11966;12477;13055;14703;13762;14043;13766;13469;12852;11619;12594;12300;12128;12565;12182;15089;13814;15112;14122;13509;14682;13197;13478;13060;12904;13644;12816;15413;15381;15940;14614;15388;15477;14511;15019;14209;13819;14557;13808;15000;15875;16595;15061;15751;15853;15523;15573;14342;13868;14376;14086;14198;10722;10812;12211;13287;13489;14093;14365;13928;13811;12199;10153;5742;2192512
"25 Paraíba";2;-;-;-;-;-;2;107;273;1071;2328;7190;18485;17603;19815;20801;21183;18775;19028;18765;18602;17371;16705;16177;17425;16647;21219;20330;21294;18773;20223;20252;19790;20040;19787;18436;18987;17666;20708;19702;21480;18716;20536;20305;19346;19307;18461;16706;18020;18316;20016;17642;18251;17233;16901;18036;17281;17136;16932;16209;16198;15947;18217;17200;18086;16042;17017;16861;15617;15754;15393;14045;15533;14640;17328;17730;18607;17180;17469;16934;16134;16577;15369;14650;15637;14765;16338;16333;17266;15813;16693;16569;16869;16719;15505;14436;14526;13012;16377;16055;16214;15008;15707;15621;15364;15290;14666;13436;14057;14306;15913;15284;15794;14560;14741;15164;14424;14139;13573;12946;13848;12909;16090;15230;16933;15381;15387;16500;15449;15952;14837;13780;14994;13683;16222;16313;16687;15644;16064;16391;15397;15776;14823;14166;14649;14219;16116;16854;17398;15495;16541;16123;15743;16089;15023;13995;14793;13894;13970;11079;11844;12304;13026;12560;12489;12319;12683;13455;12973;10413;7658;2598201
"26 Pernambuco";6;7;-;1;-;2;15;268;979;3114;7446;23334;40916;36866;41469;45686;44966;40443;42719;42221;41135;40687;38112;35984;39522;34895;45564;42262;44143;40908;42056;42965;42159;42701;41205;38658;40462;36900;46020;43193;47255;42126;43597;44786;43291;43723;43154;41392;42371;41933;46617;44437;46261;43332;43160;46440;43321;44263;43250;41539;41694;39841;47389;44644;47951;43831;45408;46868;43319;43827;41789;39169;43749;38915;44108;45814;47961;44152;45097;46107;44928;46722;43007;40897;43482;41188;44613;45495;47502;44120;47266;47346;46956;46933;44500;42551;43102;39975;48770;46408;48317;44847;46328;45597;43033;43485;42869;40833;42054;41717;46406;44408;46196;44857;45090;47134;43910;43447;41382;39857;43260;39979;48877;46080;50134;47582;47251;49950;45123;47376;45048;43400;45803;41216;47406;49060;50106;47278;46998;49838;45581;48871;44922;43617;46643;44535;47337;49529;52655;47558;50421;50695;49593;51024;47886;44349;47876;43318;41635;31864;35302;36859;40613;42119;42223;43230;41466;40482;39502;33640;24825;7007333
"27 Alagoas";-;-;-;-;-;-;5;195;275;907;1720;4463;14837;13445;14959;17517;17140;16056;14778;14650;14639;14274;13859;13382;14142;12553;16373;15566;15761;14411;15377;14546;14762;15466;14934;13765;14258;13072;17045;16214;16950;14394;15269;15771;15236;14841;14631;13296;13702;14193;15711;14862;16345;15458;14890;15677;14870;14897;14029;13034;13753;13465;14685;13404;14480;13709;14503;13899;13678;13402;13094;12532;13493;11779;14131;14460;15311;14612;15321;14084;13937;14271;13334;12299;12720;12117;12977;13161;14150;13254;14165;13936;14177;14147;13372;12497;12301;11223;14600;13873;14738;13946;14644;13982;13753;14142;13592;12798;13064;12545;14647;14488;15040;14371;15073;15326;14173;13667;12714;11988;13591;12246;14983;13931;15724;14948;14973;15624;14215;14876;14026;13389;14019;12574;14852;15367;15691;14231;14922;15346;14252;15183;13640;12780;13868;13280;13921;14657;15610;13884;15513;15475;14619;15333;13986;12758;13310;12578;12603;10016;9960;10172;11152;11244;12392;13775;13520;12697;12356;10402;7628;2238491
"28 Sergipe";-;1;-;1;-;-;2;18;58;192;866;3946;8731;8119;9162;9738;9324;8590;8695;8209;7787;7743;7160;6609;7333;6962;8932;8149;8665;7651;8039;7962;7826;7772;7106;6563;7143;6678;8727;8324;8722;7280;7859;7971;7963;7630;7861;7366;7828;7001;7796;7774;8530;7699;7561;7944;7407;7703;7971;7417;7616;7312;8232;7702;8391;7363;7414;7622;6983;7802;6993;6472;7082;6535;7745;8086;7781;7401;7471;7516;7443;7419;7200;6827;7479;7114;7432;7390;7781;6991;7039;7502;8106;7990;7735;6755;7437;7137;8778;8410;9093;7666;8249;8445;8266;8346;7648;6677;7284;7126;8317;8322;8609;8187;8292;7790;8136;7700;7180;6822;7367;6989;8288;8083;8954;7817;8141;8159;7446;7729;7155;6926;7798;6840;8338;8194;8664;8129;8358;8386;7736;7571;7605;7117;7676;7322;8102;8624;9019;7970;8017;7878;8038;8359;7780;7701;7914;7691;7901;6157;6203;6591;7077;6900;7071;7607;7485;7024;6031;4212;2569;1224414
"29 Bahia";3;6;-;-;-;1;5;54;312;1087;3263;17588;66223;60453;74394;80024;75255;68707;75935;75125;74477;71007;64074;61401;67406;63548;80844;75632;76236;70351;74747;76067;75260;73881;73220;68417;71380;66548;81882;77278;81262;68596;72476;77454;74034;73828;72850;68990;74584;69851;78163;75249;76744;71041;71511;76614;70909;72356;71318;69417;71476;66585;78709;71741;76358;70940;74609;73925;69242;68648;63783;58804;64942;59229;68672;69299;70479;67284;70497;69085;68408;70674;65394;62248;67515;63214;68339;68963;72812;65267;71900;72058;72319;73288;66742;62545;66236;59746;75231;69063;72068;67805;72460;70821;70196;70212;67810;62891;65148;67076;74888;69532;70631;65552;68678;71733;66690;64622;60542;56915;64055;58058;70199;64546;72939;66663;69826;71333;65659;68632;65441;62593;68158;59524;69890;70991;72793;66766;71729;72164;68934;72003;66932;64887;67851;64981;68960;72767;77934;68938;75001;73248;71088;74088;68067;63079;67568;64383;63570;47922;49383;50940;55358;56723;59505;63717;60280;55018;49940;40657;26275;10893833
"31 Minas Gerais";4;4;-;-;2;4;32;538;1709;7306;16697;45750;92681;86508;96745;99252;96742;93733;95032;93469;95453;97086;89094;86945;90567;84890;100890;92884;95604;92286;95669;94976;95205;91499;89851;86588;91105;87825;104877;95596;98346;91795;94663;99193;97228;93079;91907;91365;94600;91208;99462;95537;102114;95621;94660;99679;95030;93911;93533;91912;95129;90727;103430;96661;104478;96920;100403;101335;95780;100431;90591;88720;94222;87203;99854;104530;102907;99610;101317;100595;99156;102114;95122;93350;100199;96330;101693;104762;108416;100608;103715;103692;104571;104760;99197;95761;96308;89652;110437;103617;106205;101743;100885;100061;100024;101027;96787;93412;95025;94241;107257;101677;103987;101103;98709;101147;96949;95592;90277;91933;96029;88462;104999;96398;107825;101409;101686;105244;98688;101965;98685;96081;102377;90920;106245;106479;106954;103184;106833;108255;101540;107509;101127;98531;103677;97752;105283;110778;115484;105842;111252;108185;106752;109789;102940;101008;105174;98203;96611;76976;84354;85860;91569;92113;93755;96086;95388;91388;83310;68682;49659;15561580
"32 Espírito Santo";1;1;-;1;-;-;7;39;187;979;2535;7722;14516;13848;16611;16654;15850;15480;15071;15659;15659;15998;14409;14133;14931;13878;17414;16350;16736;16038;16448;16863;16188;15575;15663;14946;14830;14003;17634;16464;16961;15656;16241;17355;16370;16686;16669;16581;17012;16649;18459;17686;18703;17937;17398;18382;17041;17286;17411;16981;17069;16554;18976;17224;18275;17504;18385;18396;17500;18805;17128;16679;16620;15323;17944;18523;18208;17091;18030;18058;17842;18947;17439;16486;17946;17280;18123;18508;19263;18024;19130;19505;19409;19178;18486;18098;18451;16889;21029;18965;20061;19821;20668;19927;18625;19111;18443;18064;18535;18276;20628;19711;21110;19796;19765;20306;19159;19476;18655;19102;18856;17403;21606;19862;21298;20049;19810;21386;19875;20675;19876;18984;20349;18195;21186;21133;21860;19691;20653;20290;19195;20663;19792;19227;19712;19457;20873;20786;22009;20339;21868;21615;21152;21968;19963;20045;20955;20485;20262;15597;16501;16517;18437;17879;18184;18778;19550;20097;17610;13073;7869;2896809
"33 Rio de Janeiro";6;4;1;1;4;3;26;400;808;3193;7479;17600;54995;47536;58293;59623;57523;55039;55119;54069;53630;53528;47397;45821;50676;45915;58210;53519;56570;55188;57360;54627;53774;53984;52910;50074;55513;49748;61193;57866;59851;55026;56306;58892;53559;53720;52949;51701;56747;53878;57348;58323;60871;56275;54035;56792;52078;50810;49151;47726;53011;48501;57440;53394;58539;53782;52954;53083;49920;52962;46435;45558;52359;45907;53090;54495;55109;53531;54565;53476;52885;52709;48653;46230;53322;47782;50874;50826;54672;52537;56425;57156;57158;55701;52046;52065;55317;50184;60330;56221;60545;58568;59090;56862;55779;55651;53884;50969;54608;51639;58778;55631;56380;55132;55078;52859;51224;50081;47852;46707;51930;47357;56024;52953;59806;57219;58361;58974;53781;56454;53852;53104;58877;51297;60808;60948;61663;60447;60975;62286;57904;60604;56410;54076;60726;56487;59816;61194;65012;60559;64086;63308;61608;63039;58196;55693;59864;54479;54250;45289;50006;50021;54714;56961;56717;56069;56160;54777;52847;41152;32952;8705876
"35 São Paulo";7;2;1;-;3;5;36;580;2303;7298;20861;68947;183408;167955;188153;188980;186439;186358;191029;188355;190610;192319;173541;164886;173447;167690;203675;190741;196039;191112;196803;199457;196880;194088;185544;173700;187231;179941;216682;198602;204531;192091;193427;205500;195081;191999;191212;183461;195391;190427;210100;197926;209373;193857;196668;205817;192477;194114;186207;178120;191845;185546;211488;195985;211135;193135;200079;205063;191248;204148;181445;172452;191120;176079;198950;208350;202052;195258;196602;201655;196146;202059;185219;176560;195434;187957;200002;202146;209380;196338;201126;202970;203741;206027;188775;181454;195219;181725;217964;204396;208660;200796;198895;201187;196842;194828;189642;181137;191042;187559;214604;203917;207730;205410;199804;206680;196547;197800;188799;181907;193820;184364;217912;196965;215767;203476;205153;213476;200628;207328;196867;187972;202914;185982;214564;211941;213592;205057;207290;214532;200932;214718;200659;192300;208950;196975;210496;217520;225473;207872;214099;216034;211709;220858;203475;194316;212127;197764;193003;144854;162854;169257;182276;184181;188578;194383;191774;183218;183938;162251;120277;31150267
"41 Paraná";5;-;1;-;1;3;26;646;1393;4396;9991;29317;60003;56290;63308;63368;63544;62477;65374;61044;63104;63403;57897;55192;58061;56829;69063;62912;65776;64057;67940;66828;65013;64946;63314;59262;61433;60456;73228;65405;67439;64959;66122;67807;66673;64601;65123;61705;64083;61257;66609;61681;66262;60615;61560;64990;61005;63302;62444;58458;60442;59159;67362;63476;69055;64125;66282;67762;61705;66636;60426;55710;61064;56383;64057;67274;64191;63385;66070;65519;62827;65479;60413;56084;60380;58769;62324;62253;65814;61720;65506;63928;64674;66459;60558;57375;58125;55881;67768;63979;63993;64384;66443;66121;64037;63957;63149;59550;62302;61812;70932;67457;69383;69291;68147;69578;66417;66681;63153;60421;64099;61486;74174;66769;75263;70537;71931;74562;69960;71606;70193;65480;70221;64902;75689;75738;75256;73169;76112;76250;71342;76150;72503;66778;72527;70051;74562;76977;79611;72743;77662;74456;73616;76019;71831;67689;72067;70336;67628;52542;55802;55558;56657;57355;60503;64455;64419;57309;52426;43035;24500;10352114
